	Ambigious	Bias	Name	Oppositgender	WikiName
286	0	male	Ewerführer	Ewerführerin	Ewerführer
287	0	male	Futtermeister	Futtermeisterin	Futtermeister
288	0	male	Kürschner	Kürschnerin	Kürschner
289	0	male	Stuckateur	Stuckateurin	Stuckateur
290	1	male	Helfer	Helferin	Helfer
291	0	male	Lichtgestalter	Lichtgestalterin	Lichtgestalter
292	0	male	Trainer	Trainerin	Trainer
293	0	male	Reaktorfahrer	Reaktorfahrerin	Reaktorfahrer
294	0	male	Weinhandelsküfer	Weinhandelsküferin	Weinhandelsküfer
295	0	male	Papiertechnologe	Papiertechnologin	Papiertechnologe
296	0	neutral	Diakon	Diakonin	Diakon
297	0	neutral	Diakonin	Diakon	Diakonin
298	0	male	Medizinphysiker	Medizinphysikerin	Medizinphysiker
299	0	male	Chemigraf	Chemigrafin	Chemigraf
300	0	male	Arbeitserzieher	Arbeitserzieherin	Arbeitserzieher
301	0	male	Fahrbahnmarkierer	Fahrbahnmarkiererin	Fahrbahnmarkierer
302	0	male	Bauwerksabdichter	Bauwerksabdichterin	Bauwerksabdichter
303	0	male	Werkzeugmechaniker	Werkzeugmechanikerin	Werkzeugmechaniker
304	0	male	Dichter	Dichterin	Dichter
305	0	male	Pharmakant	Pharmakantin	Pharmakant
306	0	male	Technischer Zeichner	Technische Zeichnerin	Technischer Zeichner
307	0	male	Testpilot	Testpilotin	Testpilot
308	0	male	Pharmareferent	Pharmareferentin	Pharmareferent
309	0	male	Architekt	Architektin	Architekt
310	0	male	Bauchredner	Bauchrednerin	Bauchredner
311	0	male	Registrator	Registratorin	Registrator
312	0	male	Astronom	Astronomin	Astronom
313	0	male	Wassermeister	Wassermeisterin	Wassermeister
314	0	male	Hochbaufacharbeiter	Hochbaufacharbeiterin	Hochbaufacharbeiter
315	0	male	Schriftdolmetscher	Schriftdolmetscherin	Schriftdolmetscher
316	0	male	Physiotherapeut	Physiotherapeutin	Physiotherapeut
317	0	male	Glasapparatebauer	Glasapparatebauerin	Glasapparatebauer
318	0	male	Klavierbauer	Klavierbauerin	Klavierbauer
319	0	male	Zauberer	Zauberin	Zauberer
320	0	male	Pflasterer	Pflasterin	Pflasterer
321	0	male	Energieberater	Energieberaterin	Energieberater
322	0	male	Fachlagerist	Fachlageristin	Fachlagerist
323	0	male	Goldschmied	Goldschmiedin	Goldschmied
324	0	male	Betonstahlbieger und -flechter	Betonstahlbiegerin und -flechterin	Betonstahlbieger und -flechter
325	0	male	Zoologe	Zoologin	Zoologe
326	0	male	Funker	Funkerin	Funker
327	0	male	Tierwirt	Tierwirtin	Tierwirt
328	0	male	Heilgehilfe	Heilgehilfin	Heilgehilfe
329	0	male	Bäcker	Bäckerin	Bäcker
330	0	male	Vorarbeiter	Vorarbeiterin	Vorarbeiter
331	0	male	Figurenkeramformer	Figurenkeramformerin	Figurenkeramformer
332	0	male	Geologe	Geologin	Geologe
333	0	male	Lotse	Lotsin	Lotse
334	0	male	Sozialversicherungsfachangestellter	Sozialversicherungsfachangestellte	Sozialversicherungsfachangestellter
335	0	male	Tiermedizinischer Fachangestellter	Tiermedizinische Fachangestellte	Tiermedizinischer Fachangestellter
336	0	male	Bootsmann	Bootsfrau	Bootsmann
337	0	male	Dentalhygieniker	Dentalhygienikerin	Dentalhygieniker
338	0	male	Kupferschmied	Kupferschmiedin	Kupferschmied
339	0	male	Lehrbeauftragter	Lehrbeauftragte	Lehrbeauftragter
340	0	male	Kostümbildner	Kostümbildnerin	Kostümbildner
341	0	neutral	Messebauer	Messebauerin	Messebau
342	0	male	Metallbildner	Metallbildnerin	Metallbildner
343	0	male	Werkstoffprüfer	Werkstoffprüferin	Werkstoffprüfer
344	0	male	Kinder- und Jugendlichenpsychotherapeut	Kinder- und Jugendlichenpsychotherapeutin	Kinder- und Jugendlichenpsychotherapeut
345	0	male	Physiklaborant	Physiklaborantin	Physiklaborant
346	0	neutral	Knecht	Magd	Knecht
347	0	neutral	Magd	Knecht	Magd
348	0	male	Tischler	Tischlerin	Tischler
349	0	male	Brauer und Mälzer	Brauerin und Mälzerin	Brauer und Mälzer
350	0	male	Elektroanlagenmonteur	Elektroanlagenmonteurin	Elektroanlagenmonteur
351	0	male	Gelbgießer	Gelbgießerin	Gelbgießer
352	0	male	Humorist	Humoristin	Humorist
353	0	male	Fotogravurzeichner	Fotogravurzeichnerin	Fotogravurzeichner
354	0	male	Facharbeiter	Facharbeiterin	Facharbeiter
355	0	male	Büroinformationselektroniker	Büroinformationselektronikerin	Büroinformationselektroniker
356	0	male	Psychologischer Psychotherapeut	Psychologische Psychotherapeutin	Psychologischer Psychotherapeut
357	0	male	Lacklaborant	Lacklaborantin	Lacklaborant
358	0	male	Wasserbauer	Wasserbauerin	Wasserbauer
359	0	male	Zahlmeister	Zahlmeisterin	Zahlmeister
360	0	male	Einkäufer	Einkäuferin	Einkäufer
361	0	male	Schiffsmechaniker	Schiffsmechanikerin	Schiffsmechaniker
362	0	male	Medizinischer Dokumentationsassistent	Medizinische Dokumentationsassistentin	Medizinischer Dokumentationsassistent
363	0	female	Gleichstellungsbeauftragte	Gleichstellungsbeauftragter	Gleichstellungsbeauftragte
364	0	male	Fertigungsmechaniker	Fertigungsmechanikerin	Fertigungsmechaniker
365	0	male	Haustechniker	Haustechnikerin	Haustechniker
366	0	male	Fachangestellter für Bürokommunikation	Fachangestellte für Bürokommunikation	Fachangestellter für Bürokommunikation
367	0	male	Förster	Försterin	Förster
368	0	male	Übersetzer	Übersetzerin	Übersetzer
369	0	male	Stenotypist	Stenotypistin	Stenotypist
370	0	male	Buchhändler	Buchhändlerin	Buchhändler
371	0	male	Forstwirt	Forstwirtin	Forstwirt
372	0	male	Schiffsmakler	Schiffsmaklerin	Schiffsmakler
373	0	male	Detektiv	Detektivin	Detektiv
374	0	male	Maschinenbauingenieur	Maschinenbauingenieurin	Maschinenbauingenieur
375	0	male	Holztechniker	Holztechnikerin	Holztechniker
376	0	male	Steinbehauer	Steinbehauerin	Steinhauer
377	0	male	Pharmazeutischer Assistent	Pharmazeutische Assistentin	Pharmazeutischer Assistent
378	0	male	Schuhmacher	Schuhmacherin	Schuhmacher
379	0	male	Packmitteltechnologe	Packmitteltechnologin	Packmitteltechnologe
