	language_label	profession	wikipedia_link	image_link
485	fr	Bestatter	http://fr.wikipedia.org/wiki/Croque-mort	http://upload.wikimedia.org/wikipedia/commons/9/99/JosephStevens001.jpg
486	it	Bestatter	http://it.wikipedia.org/wiki/Necroforo	http://upload.wikimedia.org/wikipedia/commons/9/96/Puzzle_stub.png
487	it	Bestatter	http://it.wikipedia.org/wiki/Necroforo	http://upload.wikimedia.org/wikipedia/commons/b/bc/Nota_disambigua.svg
488	it	Bestatter	http://it.wikipedia.org/wiki/Necroforo	http://upload.wikimedia.org/wikipedia/commons/1/1f/Tools.svg
489	it	Bestatter	http://it.wikipedia.org/wiki/Necroforo	http://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg
490	it	Bestatter	http://it.wikipedia.org/wiki/Necroforo	http://upload.wikimedia.org/wikipedia/commons/b/b7/Mort_du_fossoyeur.jpg
491	it	Bestatter	http://it.wikipedia.org/wiki/Necroforo	http://upload.wikimedia.org/wikipedia/commons/c/c5/Local-important.svg
492	ko	Bestatter	http://ko.wikipedia.org/wiki/%EC%9E%A5%EC%9D%98%EC%82%AC	http://upload.wikimedia.org/wikipedia/commons/4/47/Monobook_icon.svg
493	nl	Bestatter	http://nl.wikipedia.org/wiki/Uitvaartondernemer	http://upload.wikimedia.org/wikipedia/commons/e/ee/1rightarrow_blue.svg
494	nl	Bestatter	http://nl.wikipedia.org/wiki/Uitvaartondernemer	http://upload.wikimedia.org/wikipedia/commons/e/ee/1rightarrow_blue.svg
495	nl	Bestatter	http://nl.wikipedia.org/wiki/Uitvaartondernemer	http://upload.wikimedia.org/wikipedia/commons/5/58/20100805-013_Amersfoort_-_Waterspuwer_aan_de_Langegracht.jpg
496	no	Bestatter	http://no.wikipedia.org/wiki/Croque-mort	http://upload.wikimedia.org/wikipedia/commons/9/99/JosephStevens001.jpg
497	simple	Bestatter	http://simple.wikipedia.org/wiki/Funeral_director	http://upload.wikimedia.org/wikipedia/commons/1/12/Urn_shop.jpg
498	zh	Bestatter	http://zh.wikipedia.org/wiki/%E7%A6%AE%E5%84%80%E5%B8%AB	http://upload.wikimedia.org/wikipedia/commons/0/0a/Black_Ribbon.svg
499	zh	Bestatter	http://zh.wikipedia.org/wiki/%E7%A6%AE%E5%84%80%E5%B8%AB	http://upload.wikimedia.org/wikipedia/commons/3/3f/Globe_important.svg
500	de	Philosoph	http://de.wikipedia.org/wiki/Philosoph	http://upload.wikimedia.org/wikipedia/commons/3/36/Rembrandt_Harmensz._van_Rijn_038.jpg
501	de	Philosoph	http://de.wikipedia.org/wiki/Philosoph	http://upload.wikimedia.org/wikipedia/commons/3/31/La_scuola_di_Atene.jpg
502	an	Philosoph	http://an.wikipedia.org/wiki/Filosofo	http://upload.wikimedia.org/wikipedia/commons/3/36/Rembrandt_Harmensz._van_Rijn_038.jpg
503	ar	Philosoph	http://ar.wikipedia.org/wiki/%D9%81%D9%8A%D9%84%D8%B3%D9%88%D9%81	http://upload.wikimedia.org/wikipedia/commons/d/d8/Socrates_thumb.png
