_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,no_of_persons,no_of_persons:confidence,person_plural,person_plural:confidence,person_singular_dom,person_singular_dom:confidence,person_singular_nondom,person_singular_nondom:confidence,image_url,no_of_persons_gold,no_of_persons_gold_reason,person_plural_gold,person_plural_gold_reason,person_singular_dom_gold,person_singular_dom_gold_reason,person_singular_nondom_gold,person_singular_nondom_gold_reason
882949820,false,finalized,3,3/25/2016 13:44:52,one_person,1.0,,,,,male,0.7194,http://upload.wikimedia.org/wikipedia/commons/3/32/JohannesVermeer-TheAstronomer%281668%29.jpg,,,,,,,,
882949821,false,finalized,3,3/25/2016 13:43:50,one_person,0.6596,,,,,male,0.6596,http://upload.wikimedia.org/wikipedia/commons/3/3c/Astronomer.moon.jpg,,,,,,,,
882949822,false,finalized,3,3/25/2016 13:48:22,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,0.6842,,,,,http://upload.wikimedia.org/wikipedia/commons/c/c7/Eilenburg_MDR-Team.jpg,,,,,,,,
882949823,false,finalized,3,3/25/2016 13:44:52,several_persons_no_single_persons_depiction_is_dominant,0.3741,gender_is_not_recognizable,0.3741,,,,0,http://upload.wikimedia.org/wikipedia/commons/a/a6/Rock_im_Sektor_Kraftklub_0014-2.jpg,,,,,,,,
882949824,false,finalized,3,3/25/2016 15:35:13,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/7/77/Euro_2008_camera_tv_broadcast_salzburg.jpg,,,,,,,,
882949825,false,finalized,3,3/25/2016 13:44:52,one_person,1.0,,,,,male,0.7194,http://upload.wikimedia.org/wikipedia/commons/a/a3/13-06-07_RaR_Fujinon_film_camera.jpg,,,,,,,,
882949826,false,finalized,3,3/25/2016 13:48:09,one_person,0.7222,,,,,male,0.7222,http://upload.wikimedia.org/wikipedia/commons/4/4e/Bundesarchiv_Bild_102-08324%2C_Kameramann_bei_der_Arbeit.jpg,,,,,,,,
882949827,false,finalized,3,3/25/2016 13:44:54,several_persons_no_single_persons_depiction_is_dominant,0.6667,gender_is_not_recognizable,0.6667,,,,0,http://upload.wikimedia.org/wikipedia/de/a/a7/Vebinden.jpg,,,,,,,,
882949828,false,finalized,3,3/25/2016 14:11:37,one_person,1.0,,,,,female,0.6585,http://upload.wikimedia.org/wikipedia/commons/7/7e/EinsatzPKW.jpg,,,,,,,,
882949829,false,finalized,3,3/25/2016 13:44:29,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/de/f/f7/Betriebssanit%C3%A4tsstation.jpg,,,,,,,,
882949830,false,finalized,3,3/25/2016 13:45:10,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/de/6/69/EH-Schrank_in_SanContainer.JPG,,,,,,,,
882949831,false,finalized,3,3/25/2016 13:46:47,several_persons_but_one_persons_depiction_is_dominant,0.6471,,0,male,0.6471,,,http://upload.wikimedia.org/wikipedia/commons/6/6a/Clemenceau_-_Le_pas_du_commandit%C3%A9_Petit_journal.jpeg,,,,,,,,
882949832,false,finalized,3,3/25/2016 13:52:41,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/1/1c/Soufflierbuch_Die_R%C3%A4uber_Mannheim.jpg,,,,,,,,
882949833,false,finalized,3,3/25/2016 13:43:19,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/0/0f/Heldritt_%288%29.jpg,,,,,,,,
882949834,false,finalized,3,3/25/2016 13:44:54,one_person,1.0,,,,,female,1.0,http://upload.wikimedia.org/wikipedia/commons/d/df/What_I_did_this_weekend.jpg,,,,,,,,
882949835,false,finalized,3,3/25/2016 13:46:05,several_persons_no_single_persons_depiction_is_dominant,0.6526,mixed_equal_amount_of_male_and_female_persons,0.6526,,0,,,http://upload.wikimedia.org/wikipedia/commons/c/c5/Bundesarchiv_Bild_183-1986-0205-015%2C_Chemiekombinat_Bitterfeld%2C_Produktion_von_Wei%C3%9Ft%C3%B6nern.jpg,,,,,,,,
882949836,false,finalized,3,3/25/2016 13:44:52,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/9/9d/Siegelmarke_Amtsanwaltschaft_Danzig_W0392122.jpg,,,,,,,,
882949837,false,finalized,3,3/25/2016 13:46:21,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/5/55/IRN_OR7_Bootsmann_1917.png,,,,,,,,
882949838,false,finalized,3,3/25/2016 13:43:19,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,1.0,,,,,http://upload.wikimedia.org/wikipedia/commons/3/34/Fotothek_df_n-08_0000285.jpg,,,,,,,,
882949839,false,finalized,3,3/25/2016 14:11:37,several_persons_no_single_persons_depiction_is_dominant,0.6585,mixed_but_predominantly_male_persons,0.6585,,0,,,http://upload.wikimedia.org/wikipedia/commons/8/83/Eisenbinder_in_China.JPG,,,,,,,,
882949840,false,finalized,3,3/25/2016 13:43:19,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,1.0,,,,,http://upload.wikimedia.org/wikipedia/commons/3/3f/Eisenbinderkolonne_in_China.JPG,,,,,,,,
882949841,false,finalized,3,3/25/2016 15:35:13,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,0.3438,,,,,http://upload.wikimedia.org/wikipedia/commons/c/c1/Neue_Wache.JPG,,,,,,,,
882949842,false,finalized,3,3/25/2016 13:48:55,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/d/d5/G%C3%B6bekli_Tepe%2C_Urfa.jpg,,,,,,,,
882949843,false,finalized,3,3/25/2016 13:52:41,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/0/06/Fotothek_df_roe-neg_0000431_004_Steinmetz_auf_dem_Seitenschiffdach_der_Hofkirche.jpg,,,,,,,,
882949844,false,finalized,3,3/25/2016 13:56:10,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/2/26/Kloster_Lorsch_04.jpg,,,,,,,,
882949845,false,finalized,3,3/25/2016 13:47:55,several_persons_no_single_persons_depiction_is_dominant,0.3333,only_male,0.3333,,0,,,http://upload.wikimedia.org/wikipedia/commons/c/c1/In_der_Krypta_des_V%C3%B6lkerschlachtdenkmals_Leipzig_mit_Totenw%C3%A4chter_September_2005.JPG,,,,,,,,
882949846,false,finalized,3,3/25/2016 13:46:21,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/8/84/Bebenhausen_Window.jpg,,,,,,,,
882949847,false,finalized,3,3/25/2016 13:45:02,one_person,0.6667,,,,,male,0.6667,http://upload.wikimedia.org/wikipedia/commons/f/fc/Marino_als_steinhauer.png,,,,,,,,
882949848,false,finalized,3,3/25/2016 13:45:08,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/5/5b/Leipzig_Palais_Ro%C3%9Fbach.jpg,,,,,,,,
882949849,false,finalized,3,3/25/2016 13:44:28,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/de/b/b3/GlasschneiderToyo.jpg,,,,,,,,
882949850,false,finalized,3,3/25/2016 13:43:50,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/3/35/Glasschneider2.jpg,,,,,,,,
882949851,false,finalized,3,3/25/2016 13:47:26,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/c/c3/Glasschneider-Labor.jpg,,,,,,,,
882949852,false,finalized,3,3/25/2016 13:49:41,no_person,0.6562,,,,,,0,http://upload.wikimedia.org/wikipedia/commons/8/81/GlasRettungsger%C3%A4t_4316.jpg,,,,,,,,
882949853,false,finalized,3,3/25/2016 13:43:50,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/a/aa/SWATH_Pilot_Doese_03_%28RaBoe%29.jpg,,,,,,,,
