	Berufsgruppe	Frauen	KldB	KldB5	Männer	Overall	name	Bias	page_exist	label
43	Berufe in der Bauelektrik	1.46126422781	2621	26212	98.5387357722	224121.0	Elektrofachkraft für festgelegte Tätigkeiten	neutral	only neutral	neutral
44	Berufe Bauplanung Verkehrswege, -anlagen	22.2411347518	3113	31132	77.7588652482	3525.0	Fachkraft für Straßen- und Verkehrstechnik	neutral	only neutral	neutral
45	Bus-, Straßenbahnfahrer/innen	11.6309063196	5213	52132	88.3690936804	119406.0	Fachkraft im Fahrbetrieb	neutral	only neutral	neutral
46	Berufe Sozialverwaltung, versicherung	76.9933233157	7321	73214	23.0066766843	129106.0	Aufsichtsperson	neutral	only neutral	neutral
47	Rechtsberatung,-sprechung,-ordnung (ssT)	57.9327818764	7318	73183	42.0672181236	26838.0	Rechtsbeistand	neutral	only neutral	neutral
48	Berufe Wasserversorgung,Abwassertechnik	3.55635707845	3431	34312	96.4436429216	27725.0	Fachkraft für Abwassertechnik	neutral	only neutral	neutral
49	Berufe i.d. spanenden Metallbearbeitung	2.73770282356	2423	24233	97.2622971764	195675.0	CNC-Fachkraft	neutral	only neutral	neutral
50	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Elektrogerätefachkraft	neutral	only neutral	neutral
51	Büro- und Sekretariatskräfte (o.S.)	79.4443583916	7140	71402	20.5556416084	1969075.0	Bürokraft	neutral	only neutral	neutral
52	Berufe in der Süßwarenherstellung	57.6938758868	2926	29262	42.3061241132	12263.0	Fachkraft für Süßwarentechnik	neutral	only neutral	neutral
53	Kaufleute im Automatenservice	31.1041666667	6114	61142	68.8958333333	4800.0	Fachkraft für Automatenservice	neutral	only neutral	neutral
54	Berufe in der Hauswirtschaft	93.6919095072	8321	83212	6.30809049281	190866.0	Haushälter	female	only female	female
55	Betriebsinterne Wahlämter	32.0429252782	7123	71234	67.9570747218	12580.0	Gleichstellungsbeauftragter	female	only female	female
56	Berufe Geburtshilfe, Entbindungspflege	99.8431372549	8135	81353	0.156862745098	10200.0	Entbindungspfleger	female	only female	female
57	Berufe Gesundheits-, Krankenpflege (o.S)	84.9596721778	8130	81301	15.0403278222	807755.0	Pflegediensthelfer	female	only female	female
58	Berufe in der Hauswirtschaft	93.6919095072	8321	83212	6.30809049281	190866.0	Beschließer	female	only female	female
59	Berufe Geburtshilfe, Entbindungspflege	99.8431372549	8135	81353	0.156862745098	10200.0	Belegentbindungspfleger	female	only female	female
60	Berufe Polsterei, Fahrzeuginnenausstat.	44.4552466135	2824	28242	55.5447533865	15429.0	Fahrzeuginnenausstatter	male	only male	male
61	Berufe in der Jagdwirtschaft, Wildhege	9.27835051546	1173	11732	90.7216494845	388.0	Jäger	male	only male	male
62	Berufe für Post- und Zustelldienste	47.8940392206	5132	51321	52.1059607794	205963.0	Zusteller	male	only male	male
63	Berufe in der Jagdwirtschaft, Wildhege	9.27835051546	1173	11732	90.7216494845	388.0	Revierjäger	male	only male	male
64	Rechtsberatung,-sprechung,-ordnung (ssT)	57.9327818764	7318	73184	42.0672181236	26838.0	Justiziar	male	only male	male
65	Berufe in der Mikrosystemtechnik	28.2151300236	2632	26322	71.7848699764	8460.0	Mikrotechnologe	male	only male	male
66	Berufe handwerkl.Metall-,Glockengießerei	4.20514511873	2414	24142	95.7948548813	6064.0	Metallformer	male	only male	male
67	Berufe nichtärztl. Therapie,Heilk.(ssT)	70.7986541526	8178	81782	29.2013458474	5647.0	Saunameister	male	only male	male
68	Berufe in der Elektrotechnik (o.S.)	25.5998730188	2630	26304	74.4001269812	220505.0	Elektroniker	male	only male	male
69	BerufeSchauspielTanz,Bewegungskunst(ssT)	41.5165165165	9428	94283	58.4834834835	1332.0	Komparse	male	only male	male
70	Hochbau	1.2849391531	321	32152	98.7150608469	423522.0	Fassadenmonteur	male	only male	male
71	Berufe in der Werkzeugtechnik	3.10172465159	2452	24522	96.8982753484	90627.0	Schneidwerkzeugmechaniker	male	only male	male
72	Berufe Grafik-Kommunikations-,Fotodesign	48.9152458611	2322	23222	51.0847541389	40470.0	Designer	male	only male	male
73	Berufe in der Metallumformung	10.2560891616	2412	24122	89.7439108384	31942.0	Kabeljungwerker	male	only male	male
74	Zauberer/innen, Illusionisten/innen	19.2592592593	9432	94323	80.7407407407	135.0	Illusionist	male	only male	male
75	Berufe in der Politologie	46.213592233	9131	91314	53.786407767	3090.0	Referent	male	only male	male
76	Aufsicht und Führung - Gastronomie	46.9442078365	6339	63394	53.0557921635	18784.0	Gastwirt	male	only male	male
77	Nautische Schiffsoffiziere und Kapitäne	4.49203447375	5241	52413	95.5079655262	3829.0	Skipper	male	only male	male
78	Piloten und Verkehrsflugzeugführer	6.46539170954	5231	52314	93.5346082905	10301.0	Chefpilot	male	only male	male
79	Berufe i.d. Energie-, Kraftwerkstechnik	6.16331126919	2623	26233	93.8366887308	36409.0	Kraftwerker	male	only male	male
80	Berufe in der Altenpflege (o.S.)	85.0894719246	8210	82102	14.9105280754	502504.0	Altenpfleger	male	only male	male
81	Berufe in der Soziologie	60.7961399276	9132	91324	39.2038600724	2487.0	Soziologe	male	only male	male
82	Berufe in der Luft- und Raumfahrttechnik	7.47075732134	2523	25234	92.5292426787	35137.0	Ingenieur	male	only male	male
83	Aufsicht-Veranstaltungs-Kamera-,Tontech.	19.2571659265	9459	94593	80.7428340735	2477.0	Beleuchtungsmeister	male	only male	male
84	Berufe Theater-,Film-,Fernsehproduk.(oS)	51.4743851067	9440	94404	48.5256148933	7359.0	Dramaturg	male	only male	male
85	Zahnmedizinische Fachangestellte	99.4084063138	8111	81112	0.591593686223	193545.0	Zahnmedizinischer Fachangestellter	male	only male	male
86	Berufe in der Steinmetztechnik	5.44459089527	2123	21232	94.5554091047	9863.0	Steinbehauer	male	only male	male
87	Berufe in der Personaldienstleistung	66.3964145433	7152	71524	33.6035854567	99290.0	Personalreferent	male	only male	male
88	Berufe Garten-,Landschafts,Sportplatzbau	13.8494826824	1214	12144	86.1505173176	65627.0	Landschaftsarchitekt	male	only male	male
89	Berufe in Geschichtswissenschaften	49.6703296703	9122	91224	50.3296703297	910.0	Historiker	male	only male	male
90	Musik-,Gesangs-, Dirigententätigk. (ssT)	35.5086372361	9418	94184	64.4913627639	521.0	Korrepetitor	male	only male	male
91	Reiseleiter/innen, Fremdenführer/innen	58.0346820809	6314	63143	41.9653179191	1730.0	Fremdenführer	male	only male	male
92	Berufe im Verkauf (Möbel, Einrichtung)	56.4822153968	6225	62252	43.5177846032	40372.0	Einrichtungsfachberater	male	only male	male
93	Reiseleiter/innen, Fremdenführer/innen	58.0346820809	6314	63142	41.9653179191	1730.0	Reiseleiter	male	only male	male
94	Technische Zeichner/innen	55.2902652383	2721	27212	44.7097347617	106885.0	Bauzeichner	male	only male	male
95	Zahnärzte/innen, Kieferorthopäden/innen	66.0346097202	8147	81474	33.9653902798	16296.0	Fachzahnarzt	male	only male	male
96	Richter/innen	38.4615384615	7315	73154	61.5384615385	39.0	Richter	male	only male	male
97	Tech.ServicekräfteWartung,Instandhaltung	4.12407074143	2513	25132	95.8759292586	212266.0	Automateneinrichter	male	only male	male
98	Berufe in der Regie	50.9119332986	9441	94414	49.0880667014	1919.0	Regisseur	male	only male	male
99	Versicherungskaufleute	53.568518232	7213	72132	46.431481768	193890.0	Versicherungsfachmann	male	only male	male
100	Redakteure/innen, Journalisten/innen	50.5608415413	9241	92414	49.4391584587	71678.0	Kunstkritiker	male	only male	male
101	Autoren/Autorinnen, Schriftsteller/innen	47.7832512315	9243	92434	52.2167487685	812.0	Schriftsteller	male	only male	male
102	Berufe im Bestattungswesen	26.2594161959	8240	82402	73.7405838041	8496.0	Bestatter	male	only male	male
103	Berufe i.d. medizinischen Dokumentation	85.1895119418	7334	73342	14.8104880582	7704.0	Medizinischer Dokumentar	male	only male	male
104	Sänger/innen	48.1166205576	9412	94124	51.8833794424	4699.0	Sänger	male	only male	male
105	Berufe i.d. Sozialarbeit,Sozialpädagogik	74.9556154125	8312	83124	25.0443845875	278813.0	Bewährungshelfer	male	only male	male
106	Berufe Museums- und Ausstellungstechnik	45.4646222058	9471	94714	54.5353777942	5413.0	Konservator	male	only male	male
107	Berufe i.d. spanlosen Metallbearbeitung	12.937104197	2421	24212	87.062895803	25423.0	Federmacher	male	only male	male
108	Berufe Gesundheits-, Krankenpflege (o.S)	84.9596721778	8130	81301	15.0403278222	807755.0	Gesundheits- und Krankenpflegehelfer	male	only male	male
109	Berufe in der Maskenbildnerei	90.6659674882	8234	82342	9.3340325118	1907.0	Maskenbildner	male	only male	male
110	Versicherungskaufleute	53.568518232	7213	72134	46.431481768	193890.0	Versicherungsberater	male	only male	male
111	Berufe im Facility-Management	27.9733089101	6132	61323	72.0266910899	7643.0	Kastellan	male	only male	male
112	Berufe in der Milchproduktherstellung	19.3915241058	2925	29252	80.6084758942	10288.0	Speiseeishersteller	male	only male	male
