	Berufsgruppen	Frauen	Ingesamt	KldB	Männer	Frauen_ratio
483	Berufe i.d. medizinischen Dokumentation	6563.0	7704.0	7334	1141.0	85.1895119418
484	Führung-Medien-Dokument.-,Informationsd.	1245.0	1598.0	7339	353.0	77.9098873592
485	Medizinische Fachangestellte (o.S.)	373901.0	377540.0	8110	3639.0	99.0361286221
486	Zahnmedizinische Fachangestellte	192400.0	193545.0	8111	1145.0	99.4084063138
487	Podologen/Podologinnen	4104.0	4444.0	8112	340.0	92.3492349235
488	Orthoptisten/Orthoptistinnen	1247.0	1307.0	8113	60.0	95.4093343535
489	Tiermedizinische Fachangestellte	14935.0	16447.0	8114	1512.0	90.8068340731
490	Medizinische Fachangestellte (s.s.T.)	7939.0	10412.0	8118	2473.0	76.2485593546
491	Medizinisch-techn.Berufe im Laboratorium	60736.0	66769.0	8121	6033.0	90.9643696925
492	Medizin-tech. Berufe Funktionsdiagnostik	2723.0	3463.0	8122	740.0	78.6312445856
493	Medizinisch-technische Berufe Radiologie	20125.0	24419.0	8123	4294.0	82.4153323232
494	Medizin.-techn. Berufe Veterinärmedizin	591.0	674.0	8124	83.0	87.6854599407
495	Führung - Medizinisches Laboratorium	356.0	582.0	8129	226.0	61.1683848797
496	Berufe Gesundheits-, Krankenpflege (o.S)	686266.0	807755.0	8130	121489.0	84.9596721778
497	Berufe in der Fachkrankenpflege	57865.0	72393.0	8131	14528.0	79.9317613581
498	Berufe in der Fachkinderkrankenpflege	5028.0	5238.0	8132	210.0	95.990836197
499	Berufe operations-/med.-techn. Assistenz	7364.0	9474.0	8133	2110.0	77.7285201604
500	Berufe im Rettungsdienst	11178.0	52305.0	8134	41127.0	21.3708058503
501	Berufe Geburtshilfe, Entbindungspflege	10184.0	10200.0	8135	16.0	99.8431372549
502	Berufe Gesundheits-, Krankenpflege (ssT)	4895.0	6255.0	8138	1360.0	78.2573940847
503	Aufsicht,Führung-Krankenpfl.,Rettungsd.	28847.0	36815.0	8139	7968.0	78.3566481054
504	Ärzte/Ärztinnen (o. S.)	68047.0	121800.0	8140	53753.0	55.867816092
505	Fachärzte i.d. Kinder- u. Jugendmedizin	3603.0	4721.0	8141	1118.0	76.3185765728
506	Fachärzte/innen in der Inneren Medizin	8269.0	15268.0	8142	6999.0	54.1590254126
507	Fachärzte/innen in der Chirurgie	3899.0	12318.0	8143	8419.0	31.652865725
508	Fachärzte Hautkr.,Sinnes-Geschlechtsorg.	7573.0	11261.0	8144	3688.0	67.2498001954
509	Fachärzte/-ärztinnen Anästhesiologie	5324.0	10239.0	8145	4915.0	51.9972653579
510	Fachärzte Neurol.,Psychiatr.,Psychother.	5905.0	9254.0	8146	3349.0	63.8102442187
511	Zahnärzte/innen, Kieferorthopäden/innen	10761.0	16296.0	8147	5535.0	66.0346097202
512	Ärzte/Ärztinnen (s.s.T.)	6044.0	10548.0	8148	4504.0	57.2999620781
513	Führung - Human- und Zahnmedizin	7866.0	31634.0	8149	23768.0	24.865650882
514	Tierärzte/-ärztinnen (o.S.)	7124.0	9775.0	8150	2651.0	72.8797953964
515	Tierärzte/-ärztinnen f. Groß-, Nutztiere	597.0	891.0	8151	294.0	67.0033670034
516	Tierärzte/ärztinnen für Haus-, Heimtiere	852.0	952.0	8152	100.0	89.4957983193
518	Berufe Tiermedizin, Tierheilkunde (ssT)	78.0	99.0	8158	21.0	78.7878787879
520	Berufe i.d. nicht klinischen Psychologie	1756.0	2408.0	8161	652.0	72.9235880399
521	Berufe in der klinischen Psychologie	20855.0	26752.0	8162	5897.0	77.9567882775
522	Berufe nicht ärztliche Psychotherapie	3987.0	5102.0	8163	1115.0	78.1458251666
523	Berufe in der Physiotherapie	109016.0	140669.0	8171	31653.0	77.4982405505
524	Berufe in der Ergotherapie	38589.0	44673.0	8172	6084.0	86.3810355248
525	Berufe in der Sprachtherapie	14206.0	15104.0	8173	898.0	94.0545550847
526	Berufe in der Musik-, Kunsttherapie	1951.0	2447.0	8174	496.0	79.7302819779
527	Berufe in der Heilkunde und Homöopathie	1875.0	2446.0	8175	571.0	76.6557645135
528	Berufe i.d. Diät- und Ernährungstherapie	7456.0	7761.0	8176	305.0	96.07009406
529	Berufe nichtärztl. Therapie,Heilk.(ssT)	3998.0	5647.0	8178	1649.0	70.7986541526
530	Führung - Nichtärztl. Therapie,Heilkunde	568.0	836.0	8179	268.0	67.9425837321
531	Apotheker, Pharmazeuten	31459.0	37536.0	8180	6077.0	83.8102088662
532	Fachärzte/innen in der Pharmakologie	99.0	192.0	8181	93.0	51.5625
533	Berufe pharmazeutisch-techn. Assistenz	68332.0	70547.0	8182	2215.0	96.8602491956
534	Berufe in der Pharmazie (s.s.T.)	15923.0	27510.0	8188	11587.0	57.8807706289
535	Führung - Pharmazie	1315.0	2232.0	8189	917.0	58.9157706093
536	Berufe in der Altenpflege (o.S.)	427578.0	502504.0	8210	74926.0	85.0894719246
537	Berufe in der Altenpflege (s.s.T.)	5585.0	6702.0	8218	1117.0	83.3333333333
538	Führung - Altenpflege	3101.0	4956.0	8219	1855.0	62.5706214689
539	Berufe in der Gesundheitsberatung	3551.0	4988.0	8221	1437.0	71.1908580593
540	Wellnessberufe	1800.0	2255.0	8222	455.0	79.822616408
541	Berufe in der Ernährungsberatung	1272.0	1381.0	8223	109.0	92.1071687183
542	Qualitätsbeauftragte im Gesundheitswesen	2814.0	3680.0	8224	866.0	76.4673913043
543	Ernährungs,Gesundheitsber.,Wellness(ssT)	1637.0	2053.0	8228	416.0	79.7369702874
544	Berufe im Friseurgewerbe	129514.0	140876.0	8231	11362.0	91.9347511287
