	men	women	all_persons	men_ratio	labor_market_women_ratio	profession	Bias	prof_gender	labor_market_domin	labor_market_all	women_ratio	labor_market_women	labor_market_men
Künstler	18	1	19	0.947368421053	54.5947166403	Künstler	male	male	female	4429.0	0.0526315789474	2418.0	2011.0
Küper	2	0	2	1.0	14.3576367827	Küper	male	male	male	16486.0	0.0	2367.0	14119.0
Kürschner	15	4	19	0.789473684211	65.6862745098	Kürschner	male	male	female	306.0	0.210526315789	201.0	105.0
Küster	7	1	8	0.875	67.8608515057	Küster	male	male	female	15408.0	0.125	10456.0	4952.0
Lagerhalter	0	1	1	0.0	24.9768310941	Lagerhalter	male	male	male	1265705.0	1.0	316133.0	949572.0
Landarbeiter	17	4	21	0.809523809524	21.5765899789	Landarbeiter	male	male	male	124357.0	0.190476190476	26832.0000001	97524.9999999
Landschaftsarchitekt	3	0	3	1.0	13.8494826824	Landschaftsarchitekt	male	male	male	65627.0	0.0	9088.99999998	56538.0
Landwirt	37	1	38	0.973684210526	21.5765899789	Landwirt	male	male	male	124357.0	0.0263157894737	26832.0000001	97524.9999999
Lebensmittelchemiker	1	0	1	1.0	45.3470549595	Lebensmittelchemiker	male	male	male	4567.0	0.0	2071.0	2496.0
Lehrer	21	3	24	0.875	70.4238331399	Lehrer	male	male	female	142155.0	0.125	100111.0	42044.0
Lehrrettungsassistent	3	0	3	1.0	63.6176386302	Lehrrettungsassistent	male	male	female	55832.0	0.0	35519.0	20313.0
Leuchtröhrenglasbläser	1	0	1	1.0	26.8707482993	Leuchtröhrenglasbläser	male	male	male	294.0	0.0	78.9999999999	215.0
Lichtgestalter	5	3	8	0.625	12.5905136121	Lichtgestalter	male	male	male	17815.0	0.375	2243.0	15572.0
Liedermacher	86	9	95	0.905263157895	48.1166205576	Liedermacher	male	male	male	4699.0	0.0947368421053	2261.0	2438.0
Listbroker	1	0	1	1.0	60.5296610169	Listbroker	male	male	female	9440.0	0.0	5714.0	3726.0
Literat	7	0	7	1.0	47.7832512315	Literat	male	male	male	812.0	0.0	388.0	424.0
