,l_m_without_outliers,NormalizedGoogleDif2,Bias2,const
Dichter,47.7832512315,0.929184801788,0,1
Diener,93.6919095072,0.909610131612,0,1
Diplom-Handelslehrer,63.6176386302,0.5682382134,0,1
Dirigent,27.8372591006,0.914453259745,0,1
Disponent,21.3708058503,0.818181818182,0,1
Diätkoch,56.8326947637,0.485645933014,0,1
Dokumentar,62.5742942051,0.977669970521,0,1
Dolmetscher,69.8481848185,0.651773625778,0,1
Dompteur,41.5165165165,0.645390070922,0,1
Dozent,51.7249764431,0.418952618454,0,1
Drahtwarenmacher,12.937104197,0.856741573034,0,1
Dramatiker,51.4743851067,0.926745516978,0,1
Dramaturg,51.4743851067,0.853379879403,0,1
Drechsler,60.4,0.992335789351,0,1
Drehbuchautor,47.7832512315,0.642512077295,0,1
Edelmetallprüfer,19.3917391602,0.681908548708,0,1
Edelsteinfasser,60.9995903318,0.797752808989,0,1
Edelsteingraveur,60.9995903318,0.764705882353,0,1
Edelsteinschleifer,60.9995903318,0.835016835017,0,1
Einkäufer,49.0421123053,0.865021770682,0,1
Einrichtungsberater,56.4822153968,0.546275395034,0,1
Einsatzleiter,14.3865948534,0.873914376213,0,1
Elektroanlagenmonteur,3.41477678862,0.895762586741,0,1
Elektroingenieur,25.5998730188,0.958571945586,0,1
Elektroinstallateur,11.4381605553,0.98633736206,0,1
Elektromechaniker,25.5998730188,0.972549831023,0,1
Elektromechanikermeister,1.19304480264,0.986230636833,0,1
Elektromonteur,1.46126422781,0.981605351171,0,1
Elektroniker,25.5998730188,0.934855233853,0,1
Energieberater,41.0920869968,0.92918747163,0,1
Energieelektroniker,4.9236883504,0.946096223647,0,1
Ensembleleiter,27.8372591006,0.584307808374,0,1
Entwickler,12.2531548471,0.994959463152,0,1
Entwicklungshelfer,34.1637010676,0.762752792031,0,1
Erntehelfer,21.5765899789,0.915119363395,0,1
Erzieher,91.0178488053,0.388942774006,0,1
Estrichleger,0.557103064067,0.984324740633,0,1
Ethnologe,64.6258503401,0.186046511628,0,1
Euro-Fremdsprachenkorrespondent,89.5453170683,0.543859649123,0,1
Ewerführer,5.69221386461,0.940532081377,0,1
Expedient,37.0142226858,0.996801462189,0,1
Fachapotheker,83.8102088662,0.315453384419,0,1
Facharbeiter für Fertigungsmittel,3.10172465159,0.803278688525,0,1
Facharbeiter für Nachrichtentechnik,11.4381605553,0.955128205128,0,1
Facharzt,54.1590254126,0.548856548857,0,1
Fachberater für Finanzdienstleistungen,44.3380220021,0.766233766234,0,1
Fachinformatiker,16.2154269235,0.661721068249,0,1
Fachlagerist,24.9768310941,0.871091871092,0,1
Fachlehrer,63.6176386302,0.554347826087,0,1
Fachmann,71.6330078909,0.781443298969,0,1
Fachtierarzt,72.8797953964,0.500635862654,0,1
Fachverkäufer im Lebensmittelhandwerk,72.0206153296,0.399317406143,0,1
Fachverkäufer im Lebensmittelhandwerk (Fleischerei),92.3912445691,0.385579937304,0,1
Fachwirt,59.7982510844,0.69933396765,0,1
Fachzahnarzt,66.0346097202,0.388601036269,0,1
Fahrbahnmarkierer,2.21180663155,0.966386554622,0,1
Fahrlehrer,13.4048438238,0.884644573741,0,1
Fahrradmonteur,4.72055030095,0.923484046575,0,1
Fahrzeuginnenausstatter,44.4552466135,0.846607669617,0,1
Fahrzeuglackierer,6.22029488291,0.920438957476,0,1
Fallmanager,66.3964145433,0.543062200957,0,1
Fassadenmonteur,1.2849391531,0.816246896062,0,1
Federmacher,12.937104197,0.859022556391,0,1
Feinoptiker,42.1704511943,0.650902837489,0,1
Feinpolierer,6.28800778399,0.829694323144,0,1
Feintäschner,48.3291210334,0.896907216495,0,1
Feinwerkmechaniker,14.6782915793,0.930708999249,0,1
Feldwebel,43.2896890344,0.99863364188,0,1
Fernmeldehandwerker,11.4381605553,0.959183673469,0,1
Fertigungsmechaniker,21.0325537037,0.885121752301,0,1
Feuerungs- und Schornsteinbauer,1.2849391531,0.870229007634,0,1
Figurenkeramformer,16.735966736,0.653259361997,0,1
Film- und Videoeditor,26.5236833389,0.686316541622,0,1
Film- und Videolaborant,57.881773399,0.756097560976,0,1
Filmkopienfertiger,57.881773399,0.963636363636,0,1
Filmregisseur,50.9119332986,0.878619994963,0,1
Filmvorführer,16.156507852,0.823564239195,0,1
Finanzberater,44.3380220021,0.913996627319,0,1
Finanzmakler,44.3380220021,0.928205128205,0,1
Fischwirt,17.7215189873,0.868781930627,0,1
Flachglasmechaniker,22.984008166,0.887076537014,0,1
Flechtwerkgestalter,59.0717299578,0.7137196632,0,1
Fleischer,13.9570504204,0.996963680953,0,1
Flexograf,44.0740740741,0.836094939543,0,1
Flugbegleiter,78.2033652524,0.320552147239,0,1
Flugdienstberater,30.8085212408,0.945337620579,0,1
Fluggerätelektroniker,4.35011032889,0.917510853835,0,1
Fluggerätmechaniker,7.47075732134,0.930424291172,0,1
Flugingenieur,7.47075732134,0.93818753274,0,1
Fluglehrer,5.5737704918,0.922978831931,0,1
Fluglotse,30.8085212408,0.791798107256,0,1
Fondsmanager,44.3380220021,0.960018382353,0,1
Former,4.20514511873,0.999520714136,0,1
Formstecher,50.1462693284,0.999018485195,0,1
Forstfacharbeiter,5.09963399756,0.892271662763,0,1
Forstwirt,5.09963399756,0.873268058378,0,1
Fotograf,64.1671278362,0.920249113398,0,1
Fotogravurzeichner,50.1462693284,0.619402985075,0,1
Fotolaborant,57.881773399,0.281464530892,0,1
Fotomedienfachmann,39.4658181468,0.388684790595,0,1
Fotomedienlaborant,57.881773399,0.339285714286,0,1
Fraud-Analyst,16.5119285462,0.998173992435,0,1
Fremdenführer,58.0346820809,0.675698207586,0,1
Friseur,91.9347511287,0.907918968692,0,1
Funkelektroniker,11.4381605553,0.906371911573,0,1
Funker,45.3608247423,0.997006774743,0,1
Futtermeister,31.1584553928,0.904761904762,0,1
Fußballtrainer,7.80452224654,0.966685033696,0,1
Färber,43.0767459267,0.970854988281,0,1
Förderlehrer,76.2119908204,0.181166837257,0,1
Fördermaschinist,7.26492128967,0.943548387097,0,1
Förster,5.09963399756,0.977981538839,0,1
Galerist,70.4447632712,0.563909774436,0,1
Galvaniseur,12.6353874883,0.900610287707,0,1
Gardemanger,55.289532294,0.999378431576,0,1
Gartenbaufachwerker,21.8356761854,0.894230769231,0,1
Gastwirt,46.9442078365,0.831166062673,0,1
Gebäudereiniger,61.5522574535,0.93583918491,0,1
Gefahrgutbeauftragter,13.8408304498,0.0600112170499,0,1
Gehilfe,76.2525479477,0.550387596899,0,1
Geigenbauer,29.8076923077,0.901108269395,0,1
Gelbgießer,4.20514511873,0.993846153846,0,1
Geograph,42.5909494232,0.977785233714,0,1
Geologe,30.4119850187,0.7056,0,1
Geomatiker,47.4680548982,0.69801980198,0,1
Geprüfter Logistikmeister,10.4299504862,0.892498292849,0,1
Geprüfter Technischer Betriebswirt,62.1600224791,0.902993734045,0,1
Gerichtsvollzieher,27.2030651341,0.867293849334,0,1
Gerätezusammensetzer,21.0325537037,0.890025575448,0,1
Gerüstbauer,0.170745589072,0.984011203828,0,1
Gestaltungs- und medientechnischer Assistent,57.881773399,0.28813559322,0,1
Gestaltungstechnischer Assistent,34.9566605839,0.152542372881,0,1
Gesundheits- und Krankenpflegehelfer,84.9596721778,0.756713037852,0,1
Gesundheits- und Krankenpfleger,84.9596721778,0.495477386935,0,1
Gewässerschutzbeauftragter,26.1261261261,0.136929460581,0,1
Glasapparatebauer,21.9696969697,0.751336898396,0,1
Glasbläser,27.8772378517,0.899340922708,0,1
Glaser,3.06442138242,0.998439574579,0,1
Glasmacher,17.5054582097,0.982474675284,0,1
Glasschneider,22.984008166,0.999666722213,0,1
Glasveredler,22.984008166,0.74689193497,0,1
Gleichstellungsbeauftragte,32.0429252782,-0.957971136805,1,1
Gleisbauer,0.642715886618,0.923895462671,0,1
Goldschläger,60.9995903318,0.997067926372,0,1
Goldschmied,60.9995903318,0.940503432494,0,1
Grafiker,48.9152458611,0.795407098121,0,1
Graveur,26.9543973941,0.997813925128,0,1
Gruppenleiter,25.9924816691,0.620057859209,0,1
Gärtner,21.8356761854,0.701466781708,0,1
Gürtler,14.0532544379,0.99887832727,0,1
Hafenarbeiter,24.9768310941,0.987432412684,0,1
Hafenschiffer,5.69221386461,0.792642140468,0,1
Handelsfachwirt,49.2979461483,0.792807300054,0,1
Handelsvertreter,34.1969853683,0.941627504328,0,1
Handschuhmacher,48.3291210334,0.892573900505,0,1
Handwerksmeister,7.61356849122,0.965373905323,0,1
Handzuginstrumentenmacher,33.0882352941,0.906950028719,0,1
Haus- und Familienpfleger,81.0310203384,0.572212065814,0,1
Haushälterin,93.6919095072,-0.807228915663,1,1
Hauslehrer,75.0819356083,0.787982413288,0,1
Hausmeister,6.86331637035,0.934512608205,0,1
Haustechniker,6.86331637035,0.945583302274,0,1
Hebamme,99.8431372549,-0.908827044562,1,1
Heilgehilfe,84.9596721778,0.796875,0,1
Heilpraktiker,76.6557645135,0.599147121535,0,1
Heizer,12.501779731,0.994297010304,0,1
Historiker,49.6703296703,0.832309360318,0,1
Hochbaufacharbeiter,2.24141793831,0.906492648274,0,1
Holz- und Bautenschützer,1.22249388753,0.902813299233,0,1
Holzbearbeitungsmechaniker,11.5013019049,0.9256381798,0,1
Holzblasinstrumentenmacher,29.4294294294,0.845556095192,0,1
Holzfäller,5.09963399756,0.989187144366,0,1
Holzmechaniker,6.89245395128,0.892493638677,0,1
Holzspielzeugmacher,60.4,0.924603174603,0,1
Holztechniker,11.5013019049,0.915865151074,0,1
Honorarprofessor,42.812488391,0.834666666667,0,1
Hoteldiener,79.2351889413,0.944121071013,0,1
Hotelkaufmann,71.6330078909,0.250909090909,0,1
Hotelmeister,66.5682062299,0.560857258391,0,1
Humorist,54.5454545455,0.990159359624,0,1
Hundeführer,37.7005047672,0.85002895194,0,1
Hörgeräteakustiker,66.1900571931,0.951318458418,0,1
IT-Berater,19.8526233052,0.93930938263,0,1
IT-Systemkaufmann,21.9930782724,0.805186849091,0,1
Illusionist,19.2592592593,0.99785970377,0,1
Imker,28.5714285714,0.938721204288,0,1
Immissionsschutzbeauftragter,26.1261261261,0.565778853914,0,1
Immobilienkaufmann,57.0449103969,0.304635761589,0,1
Immobilienmakler,57.0449103969,0.924528301887,0,1
Industrie-Isolierer,1.2101210121,0.865778200857,0,1
Industrieelektriker,4.9236883504,0.94282984314,0,1
Industrieelektroniker,4.9236883504,0.956879383496,0,1
Industriekaufmann,62.1600224791,0.29392971246,0,1
Industriekeramiker Anlagentechnik,25.5032397408,0.623376623377,0,1
Industriekeramiker Dekorationstechnik,75.4844144903,0.529411764706,0,1
Industriekeramiker Modelltechnik,16.735966736,0.539033457249,0,1
Industriekeramiker Verfahrenstechnik,25.5032397408,0.60625,0,1
Industriemechaniker,13.3411949814,0.928468850441,0,1
Industriemeister,7.61356849122,0.928484107579,0,1
Industrietechnologe,11.4381605553,0.78100863244,0,1
Informatiker,16.2154269235,0.877667140825,0,1
Informatikkaufmann,25.5314765985,0.611971646101,0,1
Informationselektroniker,11.4381605553,0.932181701855,0,1
Informationstechnischer Assistent,11.4381605553,0.856209150327,0,1
Ingenieur,7.47075732134,0.962784480636,0,1
Ingenieurpädagoge,63.6176386302,0.0989010989011,0,1
Inspektor,16.2258392675,0.985070760826,0,1
Installateur,3.41477678862,0.9983847253,0,1
Intendant,40.1872883044,0.847076461769,0,1
Investmentfondskaufmann,44.3380220021,0.804629266379,0,1
Isolierfacharbeiter,1.2101210121,0.841726618705,0,1
Journalist,50.5608415413,0.948460087995,0,1
Jurist,57.9327818764,0.852331606218,0,1
Justizfachwirt,93.3804860355,0.178947368421,0,1
Justiziar,57.9327818764,0.549783549784,0,1
Justizwachtmeister,33.389261745,0.72602739726,0,1
Juwelier,60.9995903318,0.998079623473,0,1
Jäger,9.27835051546,0.959803185723,0,1
Kabeljungwerker,10.2560891616,0.912720519963,0,1
Kaffeeröster,39.4550784618,0.947314975211,0,1
Kameramann,16.156507852,0.81592039801,0,1
Kanalbauer,0.544182430682,0.910369643441,0,1
Kanalsteurer,5.69221386461,0.988439306358,0,1
Kapitän,4.49203447375,0.96463654224,0,1
Karosserie- und Fahrzeugbaumechaniker,3.97341840672,0.894353369763,0,1
Kartograf,47.4680548982,0.937673557544,0,1
Kassierer,59.7982510844,0.210702341137,0,1
Kastellan,27.9733089101,0.66149870801,0,1
Kaufmann für Tourismus und Freizeit,82.1267850182,0.135225375626,0,1
Kaufmann für Verkehrsservice,54.3373493976,0.510288065844,0,1
Kaufmannsgehilfe,71.6330078909,0.65611814346,0,1
Kellermeister,4.35766836446,0.953559777394,0,1
Kellner,65.2648305355,0.714708056171,0,1
Keramiker,25.7394587791,0.681034482759,0,1
Kernmacher,4.20514511873,0.940357852883,0,1
Kesselwärter,12.501779731,0.978021978022,0,1
Kettenschmied,60.9995903318,0.857142857143,0,1
Kfz-Mechatroniker,3.97341840672,0.940639269406,0,1
